idx,question,correct_answer,baseline_response,baseline_length
0,Viruses are considered an exception to the cell theory because they,are not independent organisms,"Viruses are considered an exception to the cell theory because they are not cells, lacking cellular structure and metabolic processes, and can only replicate inside host cells.",27
1,Which of these painting tools has bristles on it?,Brush,A brush has bristles on it.,6
2,"To obtain a high value of capacitance, the permittivity of dielectric medium should be",high,high.,1
3,"Which vitamins are important in lowering circulating homocysteine levels
","Folate, vitamins B6 and B12","B6, B12, and folic acid (B9) are important in lowering circulating homocysteine levels.",13
4,"What does it mean to write ""xmas"" instead of ""Christmas""?",It is an abbreviation.,"Writing ""xmas"" instead of ""Christmas"" refers to abbreviating the word Christmas by using the Greek letter ""x"" to represent the ""ch"" sound, which is an initialism.",26
5,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poured the rest of my drink in the kitchen sink. Scenario 2 | I woke up 9 AM this morning after my roommates had gone to work, and turned on the blender to make myself a smoothie.","Not wrong, Not wrong","Neither scenario describes an action that is clearly morally wrong according to ordinary moral standards in the US as of 2020. Pouring the rest of one's drink into the kitchen sink is a common and acceptable practice, and making oneself a smoothie in the morning is a normal activity.",49
6,"A 73-year-old woman comes to the physician because of a 2-month history of diffuse weakness and tingling of her arms and legs. Neurologic examination shows weakness of the extensor and flexor muscles of the lower extremities. Knee and ankle deep tendon reflexes are exaggerated. Sensation to vibration and position is decreased in all extremities, but the decrease is more prominent in the lower extremities than in the upper extremities. This patient most likely has a deficiency of which of the following vitamins?",Vitamin B12 (cyanocobalamin),This patient most likely has a deficiency of vitamin B12 (cobalamin). The symptoms and neurologic findings described are consistent with pernicious anemia or vitamin B12 deficiency neuropathy.,27
7,A correlation of 0.6 indicates that the percentage of variation in y that is explained by the variation in x is how many times the percentage indicated by a correlation of 0.3?,4,"A correlation of 0.6 indicates that 36% of the variation in y is explained by the variation in x, while a correlation of 0.3 indicates that 9% of the variation in y is explained by the variation in x. Therefore, a correlation of 0.6 explains approximately 4 times the percentage of variation explained by a correlation of 0.3.",58
8," Norcross agrees that if a being is incapable of moral reasoning, at even the most basic level, then it cannot be",a moral agent.,moral agent.,2
9,Lex iniusta non est lex' has which of the following meanings?,An unjust law is not law.,"""An unjust law is not a law.""",7
10, Select the best translation into predicate logic: All first-year students take a swim test.,(∀x)(Fx ⊃ Sx),"Let F(x) denote ""x is a first-year student"" and S(x) denote ""x takes a swim test"". The best translation into predicate logic is:

∀x (F(x) → S(x))",27
11,"At a no-reserve auction, the auctioneer put up a painting that was unsigned and apparently quite old. A woman made the highest bid, which was $100, and the auctioneer slammed the gavel down, completing the transaction. Before the day's auction ended, an art historian told the auctioneer in private during a break that the piece was an original by Claude Monet, worth about $1 million. The auctioneer quickly told the successful bidder that the amount was rejected by the seller and that the piece would be withdrawn from the sale that day. The woman sued the auctioneer, claiming that there was a binding contract and requesting specific performance. Based strictly on the rules of offer and acceptance, is the auctioneer in danger of losing the painting to the successful bidder and, if so, why?","Yes, in a no-reserve auction there is a binding contract based on the highest amount offered by the winning bidder.","Yes, the auctioneer is in danger of losing the painting to the successful bidder. In a no-reserve auction, once the auctioneer slams the gavel, it constitutes a binding offer to sell at the highest bid. The successful bidder has accepted this offer, creating a binding contract. Even though the art historian later revealed the painting's true value, this information does not affect the validity of the initial contract between the bidder and the auctioneer. Therefore, the bidder can claim specific performance to enforce the contract and receive the painting.",89
12,Do duck quacks echo?,"Yes, duck quacks echo.","Yes, duck quacks do echo under appropriate conditions.",8
13,"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",5,"The team can buy a maximum of 5 soccer balls. This is calculated by dividing the total amount of money, $90.00, by the cost of one soccer ball, $15.60, which gives approximately 5.74. Since they cannot buy a fraction of a soccer ball, they are limited to buying 5.",49
