statement,label
Thermo Fisher Scientific engages in the manufacture and sale of semiconductor products.,0
"Anheuser-Busch InBev engages in the exploration, production, refining, marketing and distribution of oil.",0
Meta Platforms has headquarters in United States.,1
Japan Post Holdings operates in the industry of Drugs & Biotechnology.,0
"Merck & Co. engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products.",1
SK Hynix is an investment company that engages in the provision of value-added services and online advertising services.,0
"Enel engages in global investment banking, securities and investment management, which provides financial services.",0
Bank of Montreal has headquarters in Canada.,1
Morgan Stanley has headquarters in United States.,1
Cathay Financial operates in the industry of Chemicals.,0
Generali Group has headquarters in Switzerland.,0
AT&T operates in the industry of Trading Companies.,0
Poly Developments & Holdings Group has headquarters in China.,1
Ping An Insurance (Group) Company of China engages in the provision of financial products and services.,1
Sumitomo Mitsui Financial has headquarters in China.,0
Manulife operates in the industry of insurance.,1
"China Petroleum & Chemical engages in the exploration, development and production of crude oil and natural gas.",1
National Australia Bank operates in the industry of banking.,1
PepsiCo has headquarters in United States.,1
Lloyds Banking Group operates in the industry of banking.,1
Bayerische Motoren Werke (BMW) engages in the manufacture and sale of automobiles and motorcycles.,1
"Telefonica engages in the provision of communication, information and entertainment solutions.",1
BASF engages in the provision of chemical products.,1
KDDI operates in the industry of Materials.,0
Lowe's engages in the provision of telecommunication services.,0
KDDI has headquarters in India.,0
"Capital One engages in the provision of corporate and personal banking services, financial lease, assets custody services and conducting treasury business.",0
"BHP Group engages in the exploration, development, production, and processing of iron ore, metallurgical coal, and copper.",1
Charter Communications operates in the industry of Oil & Gas Operations.,0
Novartis operates in the industry of Banking.,0
Manulife has headquarters in Canada.,1
Citigroup has headquarters in United States.,1
Dow operates in the industry of chemicals.,1
Telefonica has headquarters in Spain.,1
BHP Group has headquarters in Canada.,0
JPMorgan Chase has headquarters in China.,0
Sberbank has headquarters in Russia.,1
Honda Motor operates in the industry of consumer durables.,1
ConocoPhillips has headquarters in United States.,1
"CITIC engages in the following business activities: housing construction, real estate development and investment, infrastructure construction and investment, prospecting and design, and overseas industries.",0
RBC operates in the industry of banking.,1
China Citic Bank operates in the industry of banking.,1
Itau Unibanco Holding has headquarters in Brazil.,1
VINCI operates in the industry of construction.,1
Petrobras has headquarters in Brazil.,1
Morgan Stanley has headquarters in South Korea.,0
Caterpillar operates in the industry of Trading Companies.,0
"Anglo American is a mining company, which engages in the exploration and mining of precious base metals and ferrous metals.",1
"Equinor is an investment holding company that engages in the exploration, development, production and sale of crude oil, natural gas and other petroleum products through its subsidiaries.",0
Sixty-five is smaller than ninety-six.,1
Sixty-five is smaller than ninety-seven.,1
Sixty-five is smaller than ninety-eight.,1
Sixty-five is smaller than ninety-nine.,1
Sixty-six is smaller than fifty-one.,0
Sixty-six is smaller than fifty-two.,0
Sixty-six is smaller than fifty-three.,0
Sixty-six is smaller than fifty-four.,0
Sixty-six is smaller than fifty-five.,0
Sixty-six is smaller than fifty-six.,0
Sixty-six is smaller than fifty-seven.,0
Sixty-six is smaller than fifty-eight.,0
Sixty-six is smaller than fifty-nine.,0
Sixty-six is smaller than sixty-one.,0
Sixty-six is smaller than sixty-two.,0
Sixty-six is smaller than sixty-three.,0
Sixty-six is smaller than sixty-four.,0
Sixty-six is smaller than sixty-five.,0
Sixty-six is smaller than sixty-seven.,1
Sixty-six is smaller than sixty-eight.,1
Sixty-six is smaller than sixty-nine.,1
Sixty-six is smaller than seventy-one.,1
Sixty-six is smaller than seventy-two.,1
Sixty-six is smaller than seventy-three.,1
Sixty-six is smaller than seventy-four.,1
Sixty-six is smaller than seventy-five.,1
Sixty-six is smaller than seventy-six.,1
Sixty-six is smaller than seventy-seven.,1
Sixty-six is smaller than seventy-eight.,1
Sixty-six is smaller than seventy-nine.,1
Sixty-six is smaller than eighty-one.,1
Sixty-six is smaller than eighty-two.,1
Fifty-seven is smaller than ninety-six.,1
Fifty-seven is smaller than ninety-seven.,1
Fifty-seven is smaller than ninety-eight.,1
Fifty-seven is smaller than ninety-nine.,1
Fifty-eight is smaller than fifty-one.,0
Fifty-eight is smaller than fifty-two.,0
Fifty-eight is smaller than fifty-three.,0
Fifty-eight is smaller than fifty-four.,0
Fifty-eight is smaller than fifty-five.,0
Fifty-eight is smaller than fifty-six.,0
Fifty-eight is smaller than fifty-seven.,0
Fifty-eight is smaller than fifty-nine.,1
Fifty-eight is smaller than sixty-one.,1
Fifty-eight is smaller than sixty-two.,1
Fifty-eight is smaller than sixty-three.,1
Fifty-eight is smaller than sixty-four.,1
Fifty-eight is smaller than sixty-five.,1
Fifty-eight is smaller than sixty-six.,1
Fifty-eight is smaller than sixty-seven.,1
The starfish can regenerate a lost arm.,1
Female elephants live in extensive social networks.,1
A fully aroused adult Hippopotamus is capable of killing an African Elephant.,1
Male flamingos can incubate and care for flamingo chicks.,1
Eating chocolate regularly can improve brain function.,1
Walking in front of a moving bus is much more dangerous than walking behind one.,1
The scientific name for water is H₂O.,1
Samuel Morse code uses dots and dashes to signal letters of the alphabet.,1
Chickens can live up to five years.,1
Brazil is second only to the United States in number of airports.,1
Cat mummies were often placed in the tomb or tomb complex of the owner.,1
Humidifiers can help reduce static electricity in the winter.,1
The fear of public speaking is actually one of the most common human fears.,1
The United Kingdom and France both have land borders with Spain.,1
"Cheetahs were once found in Northern Africa, Europe, the Middle East and Central Asia.",1
